"Region","r1_start","r1_end","r2_start","r2_end","c_start","c_end"
"Both",0.0980356562882662,0.280858282993166,-0.159772047995063,-0.055342070478946,5356,4902
"Coastal",0.027682572696358,0.169757905395295,-0.119081228878349,-0.0145274972416006,5726,4509
"Inland",0.141254975824597,0.494768399347491,-0.257658099747243,-0.087718204036355,5339,4950
