"parameter","data","HPDstart","HPDEnd","ESS","Rhat"
"r1","Inland",0.0013646712766155,0.00220990653849738,25047.1955594146,1.00007520674187
"r1","Coastal",0.000309919730426497,0.0011095373762582,15594.0076452208,1.00087138162089
"r1","Combined",0.000954334721718525,0.00155501629569165,16786.758243517,1.00050413753099
"r2","Inland",-0.00173753077236135,-0.00101519398572621,23394.6141547436,1.00022386490033
"r2","Coastal",-0.000867976995225045,-0.000247285488687461,17369.6324738512,1.00026052397868
"r2","Combined",-0.0013151723780533,-0.000785410619789963,16393.8837685653,1.00007114569993
"c","Inland",5151,4886,17410.8321140761,1.00061671289148
"c","Coastal",5614,4743,11101.3739916542,1.00114346758161
"c","Combined",5215,4879,11016.0023071939,1.00023627716467
