"labcode","site","latitude","longitude","deltaC13","c14age","c14error","material","coastM","sitename","SiteID"
"OWd080019","영월 주천리 (375번지)",37.26425,128.287634,-25.8,4380,50,"charcoal",NA,"Jucheonri 375",107
"OWd080020","영월 주천리 (375번지)",37.26425,128.287634,-22.7,4330,40,"charcoal",NA,"Jucheonri 375",107
"OWd080021","영월 주천리 (375번지)",37.26425,128.287634,-25.5,4450,50,"charcoal",NA,"Jucheonri 375",107
"OWd080022","영월 주천리 (375번지)",37.26425,128.287634,-24.3,4380,50,"charcoal",NA,"Jucheonri 375",107
"OWd080023","영월 주천리 (375번지)",37.26425,128.287634,-26.1,4160,50,"charcoal",NA,"Jucheonri 375",107
"OWd080056","영월 주천리 (375번지)",37.26425,128.287634,-25.6,4360,50,"charcoal",NA,"Jucheonri 375",107
"OWd090049","영월 주천리",37.268115,128.269651,-24.3,4670,50,"charcoal",NA,"Jucheonri",108
"OWd090050","영월 주천리",37.268115,128.269651,-24.5,4840,50,"charcoal",NA,"Jucheonri",108
"OWd090693","평창 용항리",37.402692,128.390323,-26.2,4140,40,"charcoal",NA,"Yonghangri",109
"-","천전리",37.930712,127.777965,-34.2,3730,60,"charcoal",NA,"Chunjeonri",110
"-","영월 연당쌍굴",37.18834,128.406781,NA,3830,40,"charcoal",NA,"Yeondangssanggul",111
"-","영월 연당쌍굴",37.18834,128.406781,NA,4160,80,"charcoal",NA,"Yeondangssanggul",111
"-","영월 연당쌍굴",37.18834,128.406781,NA,4570,80,"charcoal",NA,"Yeondangssanggul",111
"-","영월 연당쌍굴",37.18834,128.406781,NA,4690,80,"charcoal",NA,"Yeondangssanggul",111
"SNU04-415","영월 연당쌍굴",37.18834,128.406781,NA,3800,100,"charcoal",NA,"Yeondangssanggul",111
"-","영월 연당쌍굴",37.18834,128.406781,NA,4010,80,"charcoal",NA,"Yeondangssanggul",111
"SNU04-413","영월 연당쌍굴",37.18834,128.406781,NA,4440,40,"charcoal",NA,"Yeondangssanggul",111
"PLD-16110","원주 반곡동",37.323098,127.983693,-26.65,3790,20,"charcoal",NA,"Bangokdong",112
"PLD-16111","원주 반곡동",37.323098,127.983693,-27.36,4170,20,"charcoal",NA,"Bangokdong",112
"PLD-16112","원주 반곡동",37.323098,127.983693,-26.96,3825,20,"charcoal",NA,"Bangokdong",112
"PLD-15435","춘천 송암동",37.8533,127.693302,-27.42,3890,25,"charcoal",NA,"Chuncheon Songamdong",113
"SNU09-R097","오등동",33.43193,126.555191,-36.38,4330,50,"charcoal",NA,"Odeungdong",114
"SNU09-R098","오등동",33.43193,126.555191,-29.38,5440,80,"charcoal",NA,"Odeungdong",114
"SNU12-R085","한동리",33.54302,126.829856,-21.29,3340,40,"charcoal",NA,"Handongri",115
"SNU12-R082","한동리",33.54302,126.829856,-18.36,2980,40,"charcoal",NA,"Handongri",115
"SNU12-R083","한동리",33.54302,126.829856,-18.06,5030,40,"charcoal",NA,"Handongri",115
"SNU12-R084","한동리",33.54302,126.829856,-21.65,3140,40,"charcoal",NA,"Handongri",115
"Beta-70663","김천 송죽리",36.04246,128.054296,-25,4380,60,"charcoal",NA,"Songjukri",116
"Beta-65988","청도 암음 오진리",35.7086,128.963897,NA,3480,100,"charcoal",NA,"Ojinri",117
"Beta-65989","청도 암음 오진리",35.7086,128.963897,NA,2970,60,"charcoal",NA,"Ojinri",117
"SNU09-503","대구달천리 135",35.88996,128.47795,-24.15,4100,60,"charcoal",NA,"Dalcheonri 135",118
"SNU09-504","대구달천리 135",35.88996,128.47795,-26.78,3620,50,"charcoal",NA,"Dalcheonri 135",118
"PLD-10702","울산중산동 139",35.65115,129.350632,-27.12,4005,30,"charcoal",NA,"Jungsandong 139",119
"PLD-4107","울산 궁근정리",35.61584,129.063367,-27.49,3475,20,"charcoal",NA,"Gunguenjungri",120
"PLD-4108","울산 궁근정리",35.61584,129.063367,-23.5,4405,20,"charcoal",NA,"Gunguenjungri",120
"PLD-4109","울산 궁근정리",35.61584,129.063367,-25.86,4045,20,"charcoal",NA,"Gunguenjungri",120
"PLD-4110","울산 궁근정리",35.61584,129.063367,-25.97,3455,20,"charcoal",NA,"Gunguenjungri",120
"PLD-4111","울산 궁근정리",35.61584,129.063367,-26.52,4345,20,"charcoal",NA,"Gunguenjungri",120
"PLD-4112","울산 궁근정리",35.61584,129.063367,-26.73,3500,20,"charcoal",NA,"Gunguenjungri",120
"PLD-4113","울산 궁근정리",35.61584,129.063367,-26.13,4495,25,"charcoal",NA,"Gunguenjungri",120
"SNU12-R022","진주 평거 4-1지구",35.16712,128.056004,-30.57,4450,50,"charcoal",NA,"Pyeonggeo 4-1",121
"SNU12-R023","진주 평거 4-1지구",35.16712,128.056004,-30.75,4370,50,"charcoal",NA,"Pyeonggeo 4-1",121
"SNU09-R130","진주 평거 3-1지구",35.16712,128.056004,-28.61,3620,60,"charcoal",NA,"Pyeonggeo 3-1",122
"NUTA-1034","합천 봉계리",35.60805,128.031034,NA,4060,150,"charcoal (annual)",NA,"Bonggyeri",123
"SNU11-970","울산 황성동",35.46057,129.362308,-26.05,4700,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-973","울산 황성동",35.46057,129.362308,-22.34,5030,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-971","울산 황성동",35.46057,129.362308,-25.78,5090,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-974","울산 황성동",35.46057,129.362308,-26.49,5120,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-972","울산 황성동",35.46057,129.362308,-24.96,5410,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-975","울산 황성동",35.46057,129.362308,-21.7,5370,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-976","울산 황성동",35.46057,129.362308,-26.69,5440,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-977","울산 황성동",35.46057,129.362308,-24.21,5480,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-978","울산 황성동",35.46057,129.362308,-27.74,5320,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-979","울산 황성동",35.46057,129.362308,-29.46,5510,60,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-980","울산 황성동",35.46057,129.362308,-27.97,5280,50,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-981","울산 황성동",35.46057,129.362308,-24.29,5500,60,"charcoal",NA,"Hwangseongdo road to new port",124
"SNU11-982","울산 황성동",35.46057,129.362308,-23.21,5470,50,"charcoal",NA,"Hwangseongdo road to new port",124
"Beta-119436","세죽리",35.45971,129.357806,-27.6,4390,60,"wood",NA,"Sejukri",3
"Beta-119433","세죽리",35.45971,129.357806,-28.1,6040,80,"wood",NA,"Sejukri",3
"Beta-119434","세죽리",35.45971,129.357806,-29.3,6020,70,"wood",NA,"Sejukri",3
"SNU05-348","비봉리",35.41067,128.645405,-24.13,2810,60,"charcoal",TRUE,"Bibongri",18
"TO-8783","동삼동 정화지역",35.07093,129.079771,NA,4590,100,"charcoal (annual)",NA,"Dongsamdong",7
"N-1132","동삼동",35.07093,129.079771,NA,5180,130,"charcoal",NA,"Dongsamdong",7
"AERIK-","동삼동",35.07093,129.079771,NA,4950,100,"charcoal",NA,"Dongsamdong",7
"KR10-060","죽변리",37.05676,129.427908,-20.62,6140,60,"charcoal",NA,"Jukbyeonri",125
"KR10-061","죽변리",37.05676,129.427908,-23.24,6150,50,"charcoal",NA,"Jukbyeonri",125
"KR10-062","죽변리",37.05676,129.427908,-23.24,6180,50,"charcoal",NA,"Jukbyeonri",125
"SNU08-R100","죽림동",35.19586,128.900438,-25.21,5130,60,"charcoal",TRUE,"Jukrimdong",126
"SNU08-327","죽림동",35.19586,128.900438,-25.45,4900,50,"charcoal",TRUE,"Jukrimdong",126
"SNU08-328","죽림동",35.19586,128.900438,-22.02,4600,50,"charcoal",TRUE,"Jukrimdong",126
"SNU08-326","죽림동",35.19586,128.900438,-25.4,4780,50,"charcoal",TRUE,"Jukrimdong",126
"-","암사동",37.56042,127.130145,NA,4360,50,"charcoal",NA,"Amsadong",44
"BETA-252973","능곡",37.37582,126.811394,-8.4,4740,40,"charcoal (annual)",NA,"Neunggok",30
"Beta-45536","일산 가와지",37.68687,126.761274,NA,4330,80,"charcoal",NA,"Gawaji (zone 2)",127
"-","일산 주엽리",37.6707,126.75511,NA,4010,25,"charcoal",NA,"Juyeopni",128
"KCCAMS-60748","진주 평거동",35.16712,128.056004,NA,4350,25,"charcoal (annual)",NA,"Pyeonggeodong",34
"KCCAMS-60749","진주 평거동",35.16712,128.056004,NA,4175,25,"charcoal (annual)",NA,"Pyeonggeodong",34
"TO-8608","상촌리",35.21863,127.969302,NA,4060,140,"charcoal (annual)",NA,"Sangchonri-Daepyeong",4
"TO-8607","어은1지구",35.22853,127.949877,NA,4030,100,"charcoal (annual)",NA,"Oun 1",129
"KCP ?","상노대도",34.66963,128.246504,NA,3430,60,"charcoal",NA,"Sangnodaedo",130
"TO-8605","어은1지구",35.22853,127.949877,NA,3610,280,"charcoal (annual)",NA,"Oun 1",129
"SNU99-125","어은1지구",35.22853,127.949877,NA,2850,60,"charcoal (annual)",NA,"Oun 1",129
"SNU99-126","어은1지구",35.22853,127.949877,NA,2830,60,"charcoal (annual)",NA,"Oun 1",129
"TO-8637","어은1지구",35.22853,127.949877,NA,2800,100,"charcoal (annual)",NA,"Oun 1",129
"SNU06-522","대천리",36.2864,127.57116,NA,4590,80,"charcoal (annual)",NA,"Daecheonri",131
"UCI67219","진주 평거동",35.16712,128.056004,NA,3940,20,"charcoal (annual)",NA,"Pyeonggeodong",34
"IAAA71150","진주 평거동",35.16712,128.056004,NA,4320,30,"charcoal (annual)",NA,"Pyeonggeodong",34
"SNU01-305","상촌리",35.21863,127.969302,-26.9,2830,30,"charcoal",NA,"Sangchonri-Daepyeong",4
"Beta-252971","진주 평거동",35.16712,128.056004,-25,4200,40,"charcoal (annual)",NA,"Pyeonggeodong",34
"Beta-252972","진주 평거동",35.16712,128.056004,-10.1,4340,40,"charcoal (annual)",NA,"Pyeonggeodong",34
"UCI68837","진주 평거동",35.16712,128.056004,NA,3595,15,"charcoal (annual)",NA,"Pyeonggeodong",34
"-","오산리",38.08705,128.661486,NA,4360,50,"charcoal",NA,"Osanri",43
"KAERI-186","암사동",37.56042,127.130145,NA,5510,110,"charcoal",NA,"Amsadong",44
"KAERI-189","암사동",37.56042,127.130145,NA,5000,70,"charcoal",NA,"Amsadong",44
"AERIK-?","암사동",37.56042,127.130145,NA,4730,200,"charcoal",NA,"Amsadong",44
"KCP-135","암사동",37.56042,127.130145,NA,4660,70,"charcoal",NA,"Amsadong",44
"-","시도",37.54399,126.431112,NA,3040,59,"charcoal",NA,"Shido",132
"SNU06-916","방동리",37.82827,128.878506,-27.12,4660,60,"charcoal",NA,"Bangdongri",21
"Beta-44978","고남리 패총",36.42001,126.409866,NA,3340,80,"charcoal",NA,"Gonamri",133
"Beta-105626","고남리 패총",36.42001,126.409866,NA,2910,70,"charcoal",NA,"Gonamri",133
"DIS170209WA022","고산리",33.30523,126.166461,-17.3,5270,30,"charcoal",NA,"Gosanri",70
"DIS170209WA023","고산리",33.30523,126.166461,-31.5,5220,30,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-24.39,4180,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-27.78,4170,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-25.36,5610,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-26.36,4240,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-26.23,4150,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-25.52,4160,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-24.73,4190,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-23.67,4070,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-26.32,4070,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-25.8,4130,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-25.6,5750,50,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-27.16,4180,50,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-24.76,4800,40,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-31.8,4170,20,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-29.5,4110,20,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-27.6,4170,20,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-32.7,4640,30,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-28.1,4700,20,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-29.4,4160,20,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-26,4680,30,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-30.4,5080,30,"charcoal",NA,"Gosanri",70
"-","고산리",33.30523,126.166461,-29.9,4910,30,"charcoal",NA,"Gosanri",70
"KCP-146","가평리",38.09464,128.653335,NA,3630,60,"charcoal",NA,"Gapyeongri",45
"KCL16-110","오등동2",33.447216,126.525473,-26.08,5500,40,"charcoal",NA,"Odeungdong2",134
"KCL16-111","오등동2",33.447216,126.525473,-26.97,5420,40,"charcoal",NA,"Odeungdong2",134
"-","외도동 181-1",33.48579,126.438568,-26.27,4950,40,"charcoal",NA,"Oedodong 181-1",135
"SNU13-254","금진리 458,458-1",37.631051,129.043744,-24.94,3590,50,"charcoal",NA,"Geumjinri 458,458-1",136
"SNU13-255","금진리 458,458-1",37.631051,129.043744,-24.31,3490,50,"charcoal",NA,"Geumjinri 458,458-1",136
"SNU13-256","금진리 458,458-1",37.631051,129.043744,-24.34,3560,50,"charcoal",NA,"Geumjinri 458,458-1",136
"SNU13-257","금진리 458,458-1",37.631051,129.043744,-26.16,3530,30,"charcoal",NA,"Geumjinri 458,458-1",136
"SNU13-259","금진리 458,458-1",37.631051,129.043744,-26.32,4560,50,"charcoal",NA,"Geumjinri 458,458-1",136
"SNU13-258","금진리 458,458-1",37.631051,129.043744,-28.93,3470,50,"charcoal",NA,"Geumjinri 458,458-1",136
