/* DATA DESCRIPTION:
Citation:	Park, Jinheum; Park, Jungjae; Yi, Sangheon; Lim, Jaesoo; Kim, Jin Cheul; Jin, Qiuhong; Choi, Jieun (2020): Percentage of pollen and spores in core STP18-03 (Miryang region, Korean peninsula). PANGAEA, https://doi.org/10.1594/PANGAEA.922334, 
	Asteraceae [%] (Asterac) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: subf Aster., Pollen
	Asteraceae [%] (Asterac) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: subf Cich., Pollen
	Saxifragaceae [%] (Saxae) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Filipendula [%] (Flp) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Euphorbia [%] (Euphorbia) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Geranium [%] (Ger) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Caryophyllaceae [%] (Cphae) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Lamiaceae [%] (Lamiaceae) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Liliaceae/Hemerocallis [%] (Liliaceae/Hemerocallis) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Galium/Rubiaceae [%] (Galium/Rubiaceae) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Polygonum [%] (Polygonum) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Thalictrum [%] (Tha) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Campanula [%] (Campanula) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Apiaceae [%] (Apiaceae) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Plantago [%] (Plantago) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
